name,power,energy,category,attribute,effect,learned_by_pets
冰锋横扫,0,4,魔攻,冰,造成魔伤，本技能威力等于敌方精灵技能总能耗的10倍。,"[{""name"": ""电企鹅""}, {""name"": ""雪灵""}, {""name"": ""圣代甜甜""}, {""name"": ""圣代甜甜（樱桃草莓口味）""}, {""name"": ""圣代甜甜（樱桃抹茶口味）""}, {""name"": ""圣代甜甜（蓝莓巧克力口味）""}, {""name"": ""圣代甜甜（蓝莓草莓口味）""}, {""name"": ""圣代甜甜（蓝莓抹茶口味）""}, {""name"": ""圣代甜甜（杨桃巧克力口味）""}, {""name"": ""圣代甜甜（杨桃草莓口味）""}, {""name"": ""圣代甜甜（杨桃抹茶口味）""}]"
抓挠,35,0,物攻,普通,造成物伤，自己回复1能量。,"[{""name"": ""魔力猫""}, {""name"": ""叶冕魔力猫""}, {""name"": ""幻影灵菇""}, {""name"": ""叮叮恶魔""}, {""name"": ""卷胡巨獭""}, {""name"": ""蹦床松鼠""}, {""name"": ""巨噬针鼹""}, {""name"": ""花衣蝶""}, {""name"": ""影狸""}, {""name"": ""翼龙""}, {""name"": ""遁地鼠（枯水期的样子）""}, {""name"": ""遁地鼠（储水期的样子）""}]"
猛烈撞击,65,1,物攻,普通,对敌方精灵造成物理伤害。,"[{""name"": ""迪莫""}, {""name"": ""火神""}, {""name"": ""烈火战神""}, {""name"": ""鸭吉吉（蓬松的样子）""}, {""name"": ""鸭吉吉（急急急鸭）""}, {""name"": ""鸭吉吉（燃了鸭）""}, {""name"": ""鸭吉吉国王""}, {""name"": ""卡瓦重（草地附近的样子）""}, {""name"": ""卡瓦重（沙地附近的样子）""}, {""name"": ""卡瓦重（雪山附近的样子）""}, {""name"": ""记忆石""}, {""name"": ""咔咔鸟""}, {""name"": ""魔眷鸟""}, {""name"": ""影狸""}, {""name"": ""獠牙猪""}, {""name"": ""皇家狮鹫（崖间地的样子）""}, {""name"": ""皇家狮鹫（高山地的样子）""}, {""name"": ""棋骑士（白子）""}, {""name"": ""棋骑士（黑子）""}, {""name"": ""棋齐垒（白子）""}, {""name"": ""棋齐垒（黑子）""}, {""name"": ""棋祈督（白子）""}, {""name"": ""棋祈督（黑子）""}, {""name"": ""棋绮后（白子）""}, {""name"": ""棋绮后（黑子）""}, {""name"": ""棋契陛下""}, {""name"": ""烈火守护""}, {""name"": ""翼龙""}, {""name"": ""冰钻布鲁斯""}, {""name"": ""帕帕斯卡""}, {""name"": ""武者鸡""}, {""name"": ""遁地鼠（枯水期的样子）""}, {""name"": ""遁地鼠（储水期的样子）""}, {""name"": ""泥吼牙""}, {""name"": ""疾光千兽""}]"
飞踢,110,3,物攻,普通,对敌方精灵造成物理伤害。,"[{""name"": ""酷拉""}, {""name"": ""声波缇塔""}, {""name"": ""画间法师手""}, {""name"": ""画间沉铁兽""}]"
扫尾,90,2,物攻,普通,对敌方精灵造成物理伤害。,"[{""name"": ""魔力猫""}, {""name"": ""叶冕魔力猫""}, {""name"": ""鸭吉吉（蓬松的样子）""}, {""name"": ""鸭吉吉（急急急鸭）""}, {""name"": ""鸭吉吉（燃了鸭）""}, {""name"": ""鸭吉吉国王""}, {""name"": ""画间法师手""}, {""name"": ""画间沉铁兽""}]"
迫近攻击,90,3,物攻,普通,造成物伤。每次使用后，本技能威力永久+45。,"[{""name"": ""兽花蕾""}, {""name"": ""棋骑士（白子）""}, {""name"": ""棋骑士（黑子）""}, {""name"": ""棋齐垒（白子）""}, {""name"": ""棋齐垒（黑子）""}, {""name"": ""棋祈督（白子）""}, {""name"": ""棋祈督（黑子）""}, {""name"": ""棋绮后（白子）""}, {""name"": ""棋绮后（黑子）""}, {""name"": ""棋契陛下""}]"
音爆,130,4,魔攻,普通,对敌方精灵造成魔法伤害。,"[{""name"": ""蹦床松鼠""}, {""name"": ""伊贝粉粉""}, {""name"": ""记忆石""}, {""name"": ""黑猫巫师""}, {""name"": ""黑猫密探""}, {""name"": ""古啦多""}, {""name"": ""电企鹅""}, {""name"": ""卡洛儿""}, {""name"": ""迷迷箱怪""}, {""name"": ""闪电鳗鱼""}, {""name"": ""绒光优优""}, {""name"": ""深蓝鲸""}, {""name"": ""夜枭""}, {""name"": ""粉耳星兔""}]"
冲撞,135,7,物攻,普通,造成物伤，回合结束时，本技能能耗永久-1。,"[{""name"": ""鸭吉吉（蓬松的样子）""}, {""name"": ""鸭吉吉（急急急鸭）""}, {""name"": ""鸭吉吉（燃了鸭）""}, {""name"": ""鸭吉吉国王""}, {""name"": ""石冠王蜥（本来的样子）""}, {""name"": ""石冠王蜥（球球尾巴的样子）""}, {""name"": ""蹦床松鼠""}, {""name"": ""伊贝粉粉""}]"
见招拆招,65,2,物攻,普通,造成物伤，若上回合使用状态技能，本次技能威力+55。,"[{""name"": ""鸭吉吉（蓬松的样子）""}, {""name"": ""鸭吉吉（急急急鸭）""}, {""name"": ""鸭吉吉（燃了鸭）""}, {""name"": ""鸭吉吉国王""}, {""name"": ""花影羚羊""}, {""name"": ""蹦蹦花（海神球形态）""}, {""name"": ""蹦蹦花（彩玉球形态）""}, {""name"": ""蹦蹦花（短毛球形态）""}, {""name"": ""蹦蹦花（象牙球形态）""}, {""name"": ""蹦蹦果""}, {""name"": ""尖嘴狐仙""}, {""name"": ""游蛇魔使""}, {""name"": ""皇家狮鹫（崖间地的样子）""}, {""name"": ""皇家狮鹫（高山地的样子）""}, {""name"": ""卷毛鸭""}, {""name"": ""立方人""}, {""name"": ""厉毒修萝""}, {""name"": ""燃薪虫""}]"
触底强击,65,3,魔攻,普通,造成魔伤，使用后若能量耗尽，本次技能威力+110。,"[{""name"": ""卷胡巨獭""}, {""name"": ""电球咩咩""}, {""name"": ""风滚暮虫（金黄的样子）""}, {""name"": ""风滚暮虫（枯叶的样子）""}, {""name"": ""怖哭菇""}, {""name"": ""棋骑士（白子）""}, {""name"": ""棋骑士（黑子）""}, {""name"": ""棋齐垒（白子）""}, {""name"": ""棋齐垒（黑子）""}, {""name"": ""棋祈督（白子）""}, {""name"": ""棋祈督（黑子）""}, {""name"": ""棋绮后（白子）""}, {""name"": ""棋绮后（黑子）""}, {""name"": ""棋契陛下""}]"
