name,page_url,icon_url,attribute_icon_url,power,energy,category,attribute,effect,learned_by_pets,filters,source,detail_error
冰锋横扫,https://wiki.biligame.com/rocom/%E5%86%B0%E9%94%8B%E6%A8%AA%E6%89%AB,https://patchwiki.biligame.com/images/rocom/0/07/hyokjxgrcxum1ud8wash9n7uf8t0dgn.png,https://patchwiki.biligame.com/images/rocom/9/9b/oxnxxud1xhopw87c7mnawxijz8r1hns.png,0,4,魔攻,冰,造成魔伤，本技能威力等于敌方精灵技能总能耗的10倍。,"[{""name"": ""电企鹅"", ""page_url"": ""https://wiki.biligame.com/rocom/%E7%94%B5%E4%BC%81%E9%B9%85""}, {""name"": ""雪灵"", ""page_url"": ""https://wiki.biligame.com/rocom/%E9%9B%AA%E7%81%B5""}, {""name"": ""圣代甜甜"", ""page_url"": ""https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C""}, {""name"": ""圣代甜甜（樱桃草莓口味）"", ""page_url"": ""https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%A8%B1%E6%A1%83%E8%8D%89%E8%8E%93%E5%8F%A3%E5%91%B3%EF%BC%89""}, {""name"": ""圣代甜甜（樱桃抹茶口味）"", ""page_url"": ""https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%A8%B1%E6%A1%83%E6%8A%B9%E8%8C%B6%E5%8F%A3%E5%91%B3%EF%BC%89""}, {""name"": ""圣代甜甜（蓝莓巧克力口味）"", ""page_url"": ""https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E8%93%9D%E8%8E%93%E5%B7%A7%E5%85%8B%E5%8A%9B%E5%8F%A3%E5%91%B3%EF%BC%89""}, {""name"": ""圣代甜甜（蓝莓草莓口味）"", ""page_url"": ""https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E8%93%9D%E8%8E%93%E8%8D%89%E8%8E%93%E5%8F%A3%E5%91%B3%EF%BC%89""}, {""name"": ""圣代甜甜（蓝莓抹茶口味）"", ""page_url"": ""https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E8%93%9D%E8%8E%93%E6%8A%B9%E8%8C%B6%E5%8F%A3%E5%91%B3%EF%BC%89""}, {""name"": ""圣代甜甜（杨桃巧克力口味）"", ""page_url"": ""https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%9D%A8%E6%A1%83%E5%B7%A7%E5%85%8B%E5%8A%9B%E5%8F%A3%E5%91%B3%EF%BC%89""}, {""name"": ""圣代甜甜（杨桃草莓口味）"", ""page_url"": ""https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%9D%A8%E6%A1%83%E8%8D%89%E8%8E%93%E5%8F%A3%E5%91%B3%EF%BC%89""}, {""name"": ""圣代甜甜（杨桃抹茶口味）"", ""page_url"": ""https://wiki.biligame.com/rocom/%E5%9C%A3%E4%BB%A3%E7%94%9C%E7%94%9C%EF%BC%88%E6%9D%A8%E6%A1%83%E6%8A%B9%E8%8C%B6%E5%8F%A3%E5%91%B3%EF%BC%89""}]","{""data-param0"": ""0"", ""data-param1"": ""魔攻"", ""data-param2"": ""冰""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
抓挠,https://wiki.biligame.com/rocom/%E6%8A%93%E6%8C%A0,https://patchwiki.biligame.com/images/rocom/5/57/ee1ljglkso5orzsmhfzi9nh7hvz9icj.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
猛烈撞击,https://wiki.biligame.com/rocom/%E7%8C%9B%E7%83%88%E6%92%9E%E5%87%BB,https://patchwiki.biligame.com/images/rocom/e/eb/cfuyfb8bey4c7scjjg2v9amspxmdldo.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
飞踢,https://wiki.biligame.com/rocom/%E9%A3%9E%E8%B8%A2,https://patchwiki.biligame.com/images/rocom/5/5d/amf77hu8ppilm1gfdurryehb1iycik8.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
扫尾,https://wiki.biligame.com/rocom/%E6%89%AB%E5%B0%BE,https://patchwiki.biligame.com/images/rocom/3/38/h35exllecoex0p1mbyhmm9sjzfu0pe2.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
迫近攻击,https://wiki.biligame.com/rocom/%E8%BF%AB%E8%BF%91%E6%94%BB%E5%87%BB,https://patchwiki.biligame.com/images/rocom/1/15/4u4vbx396wbck131jmaxj6vz70mekbz.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
音爆,https://wiki.biligame.com/rocom/%E9%9F%B3%E7%88%86,https://patchwiki.biligame.com/images/rocom/6/62/6f7sfp0fh4ogqon6s5uk3plpktu3xcp.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,魔攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""魔攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
冲撞,https://wiki.biligame.com/rocom/%E5%86%B2%E6%92%9E,https://patchwiki.biligame.com/images/rocom/9/97/etq57g5gxlr8vh09f1oqjmmje66if5l.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
见招拆招,https://wiki.biligame.com/rocom/%E8%A7%81%E6%8B%9B%E6%8B%86%E6%8B%9B,https://patchwiki.biligame.com/images/rocom/b/b3/iuyyreltlni06z2xyqycf0x4ggyy2dg.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,物攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""物攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
触底强击,https://wiki.biligame.com/rocom/%E8%A7%A6%E5%BA%95%E5%BC%BA%E5%87%BB,https://patchwiki.biligame.com/images/rocom/6/65/026dvu7wzvwtppsn7tgez381pr9oc8a.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,0,,魔攻,普通,,[],"{""data-param0"": ""0"", ""data-param1"": ""魔攻"", ""data-param2"": ""普通""}",https://wiki.biligame.com/rocom/%E6%8A%80%E8%83%BD%E5%9B%BE%E9%89%B4,
